Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Status
検索_江戸川_段0,B_レンジフード,レンジフード クリーニング 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,レンジフード クリーニング 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,レンジフード クリーニング 江東区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,換気扇 クリーニング 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,換気扇 クリーニング 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,換気扇 クリーニング 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_レンジフード,,,,https://lp.onehitter.jp/mizumawari/?src=gads&cid={campaignid},レンジフード清掃,換気扇クリーニング,油汚れを分解洗浄,満足度98.6%の実績,Googleクチコミ★5.0,"60分10,780円税込から",東京・千葉・神奈川対応,土日も承ります,Web予約は24時間受付,江戸川区の清掃業者,,,,,,取り外せる部品をお預かりして洗浄。戻したあとの動作まで確認します。,アンケート209名のうち206名にご満足の回答。2023年1月〜2025年12月の実績です。,Googleのクチコミは★5.0（24件）。作業の内容と料金は事前にご説明します。,"東京・千葉・神奈川に対応。60分10,780円（税込）から。Webから24時間受付。",rangehood,edogawa,Enabled
検索_江戸川_段0,B_浴室,浴室クリーニング 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,浴室クリーニング 西葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,浴室クリーニング 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,浴室クリーニング 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,浴室クリーニング 江東区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,風呂 クリーニング 業者 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,風呂 クリーニング 業者 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,風呂 クリーニング 業者 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,お風呂掃除 業者 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,B_浴室,,,,https://lp.onehitter.jp/mizumawari/?src=gads&cid={campaignid},浴室クリーニング,お風呂の黒ずみに,水まわりまとめて,満足度98.6%の実績,Googleクチコミ★5.0,"60分10,780円税込から",東京・千葉・神奈川対応,土日も承ります,Web予約は24時間受付,江戸川区の清掃業者,,,,,,浴室の床・壁・天井・鏡・ドアまで。エプロン内部の高圧洗浄は追加で承ります。,アンケート209名のうち206名にご満足の回答。2023年1月〜2025年12月の実績です。,Googleのクチコミは★5.0（24件）。作業の内容と料金は事前にご説明します。,"東京・千葉・神奈川に対応。60分10,780円（税込）から。Webから24時間受付。",bath,edogawa,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 江戸川区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 西葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 葛西,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 浦安,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 市川,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 江東区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 墨田区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,ハウスクリーニング 葛飾区,Phrase,500,,,,,,,,,,,,,,,,,,,,,,,Enabled
検索_江戸川_段0,C_ハウスクリーニング,,,,https://lp.onehitter.jp/mizumawari/?src=gads&cid={campaignid},ハウスクリーニング,水まわりセット,1か所から承ります,満足度98.6%の実績,Googleクチコミ★5.0,"60分10,780円税込から",東京・千葉・神奈川対応,土日も承ります,Web予約は24時間受付,江戸川区の清掃業者,,,,,,キッチン・浴室・トイレ・洗面をまとめて。ご予算に合わせてお選びいただけます。,アンケート209名のうち206名にご満足の回答。2023年1月〜2025年12月の実績です。,Googleのクチコミは★5.0（24件）。作業の内容と料金は事前にご説明します。,"東京・千葉・神奈川に対応。60分10,780円（税込）から。Webから24時間受付。",housecleaning,edogawa,Enabled
