帳票区分	対象シート	項目キー	項目名	セル/範囲	入力種別	データ型	必須	備考
請求書	一時作業用/請求書	detail_qty_range	明細数量範囲	D22:D37	差し込み	number	TRUE	
請求書	一時作業用/請求書	detail_unit_price_range	明細単価範囲	E22:E37	差し込み	money	TRUE	
請求書	一時作業用/請求書	detail_amount_range	明細金額範囲	F22:F37	差し込み	money	TRUE	
請求書	一時作業用/請求書	remarks	備考	A39:D41	差し込み	string	TRUE	
請求書	一時作業用/請求書	subtotal_label	小計ラベル	E39	差し込み	string	TRUE	
請求書	一時作業用/請求書	subtotal	小計	F39	差し込み	money	TRUE	
請求書	一時作業用/請求書	tax_label	消費税ラベル	E40	差し込み	string	TRUE	
請求書	一時作業用/請求書	tax	消費税	F40	差し込み	money	TRUE	
請求書	一時作業用/請求書	grand_total_label	合計ラベル	E41	差し込み	string	TRUE	
請求書	一時作業用/請求書	grand_total	合計	F41	差し込み	money	TRUE	
